id_siniestro,id_poliza,id_asegurado,ramo,cobertura,fecha_ocurrencia,fecha_reporte,monto_reclamado,monto_estimado,monto_pagado,estado,sucursal,descripcion,documentos_completos,beneficiario,dias_desde_inicio_poliza,dias_desde_fin_poliza,dias_entre_ocurrencia_reporte,historial_siniestros_asegurado,score_riesgo,nivel_riesgo,alertas_activadas,etiqueta_fraude_simulada
SIN-00058,POL-00086,ASE-0090,Hogar,Robo,2024-04-30,2024-05-01,12516.58,10373.43,10825.57,Reserva,Guayaquil,El vehiculo fue impactado por detras mientras estaba detenido en un semaforo.,True,PROV-032,182,183,1,1,0,Verde,,0
SIN-00059,POL-00077,ASE-0052,Vehiculos,Responsabilidad Civil,2026-07-27,2026-07-30,11623.73,9995.27,0.0,Pago Parcial,Quito Norte,Caida de arbol sobre el vehiculo estacionado por tormenta.,True,PROV-011,180,185,3,0,0,Verde,,0
SIN-00060,POL-00220,ASE-0002,Generales,Incendio,2026-09-29,2026-10-02,6555.14,6170.24,5109.74,Pago Total,Guayaquil,Colision en interseccion por semaforo en rojo del tercero.,True,PROV-035,187,178,3,0,0,Verde,,0
SIN-00061,POL-00183,ASE-0121,Vehiculos,Dano,2026-08-22,2026-08-22,7369.76,6477.94,5659.04,Reserva,Quito Sur,Se produjo un choque lateral al cambiar de carril en la autopista.,True,PROV-018,258,107,0,0,0,Verde,,0
SIN-00062,POL-00033,ASE-0074,Vehiculos,Dano,2025-02-03,2025-02-06,34511.54,37659.39,29889.77,Cierre Sin Consecuencia,Cuenca,Incendio en cocina del hogar asegurado por descuido con gas.,True,PROV-025,307,58,3,6,0,Verde,,1
SIN-00063,POL-00167,ASE-0067,Hogar,Dano,2026-06-23,2026-06-26,6025.87,6452.7,5125.79,Cierre Sin Consecuencia,Ambato,El asegurado reporta dano en la parte frontal tras colision con poste.,True,PROV-034,70,295,3,1,0,Verde,,0
SIN-00064,POL-00192,ASE-0063,Vehiculos,Robo,2026-10-04,2026-10-14,15657.48,16983.96,0.0,Pago Total,Quito Norte,Colision en interseccion por semaforo en rojo del tercero.,True,PROV-014,259,106,10,1,0,Verde,,1
SIN-00065,POL-00251,ASE-0118,Vehiculos,Atencion Medica,2025-11-30,2025-12-01,12043.24,13237.7,11443.88,Cierre Sin Consecuencia,Quito Norte,Se produjo un choque lateral al cambiar de carril en la autopista.,False,PROV-017,252,113,1,0,0,Verde,,1
SIN-00066,POL-00237,ASE-0126,Salud,Responsabilidad Civil,2024-06-07,2024-06-09,12782.87,13511.33,12465.2,Negativa,Ambato,Colision en interseccion por semaforo en rojo del tercero.,True,PROV-001,233,132,2,0,0,Verde,,0
SIN-00067,POL-00221,ASE-0138,Vida,Dano,2025-01-25,2025-02-03,4081.12,3984.72,4007.23,Liquidado,Quito Norte,Robo del vehiculo en estacionamiento publico durante la madrugada.,True,PROV-007,105,260,9,0,0,Verde,,1
SIN-00068,POL-00050,ASE-0185,Hogar,Choque,2025-12-15,2025-12-18,10189.89,8959.37,8881.58,Pago Total,Guayaquil,Colision en interseccion por semaforo en rojo del tercero.,True,PROV-031,206,159,3,0,0,Verde,,0
SIN-00069,POL-00184,ASE-0197,Hogar,Responsabilidad Civil,2026-03-16,2026-03-16,9113.03,8372.49,8266.92,Anticipo,Guayaquil,"El vehiculo colisiono frontalmente con otro en la avenida principal, el tercero se dio a la fuga sin dejar datos.",True,PROV-004,235,130,0,1,0,Verde,,1
SIN-00070,POL-00095,ASE-0055,Generales,Responsabilidad Civil,2023-12-06,2023-12-08,8033.6,8396.85,6299.18,Cierre Sin Consecuencia,Quito Norte,Incendio en cocina del hogar asegurado por descuido con gas.,True,PROV-032,40,325,2,1,0,Verde,,0
SIN-00071,POL-00130,ASE-0033,Vehiculos,Incendio,2026-05-10,2026-05-12,5540.56,4880.27,4951.41,Pago Total,Cuenca,Caida de arbol sobre el vehiculo estacionado por tormenta.,False,PROV-013,256,109,2,0,0,Verde,,1
SIN-00072,POL-00155,ASE-0175,Salud,Responsabilidad Civil,2026-05-13,2026-05-13,13849.6,13220.56,0.0,Negativa,Cuenca,El asegurado reporta dano en la parte frontal tras colision con poste.,True,PROV-020,221,144,0,0,0,Verde,,0
SIN-00073,POL-00058,ASE-0057,Hogar,Robo,2026-08-16,2026-08-16,14087.61,12004.35,10709.66,Reserva,Cuenca,El vehiculo fue impactado por detras mientras estaba detenido en un semaforo.,True,PROV-004,298,67,0,0,0,Verde,,0
SIN-00074,POL-00221,ASE-0138,Vida,Responsabilidad Civil,2025-02-20,2025-02-22,5243.21,4773.97,4294.62,Reserva,Quito Sur,Dano por inundacion en el sotano de la propiedad asegurada.,True,PROV-008,131,234,2,1,0,Verde,,0
SIN-00075,POL-00191,ASE-0026,Generales,Robo,2026-08-26,2026-08-27,12058.12,13121.12,10435.1,Liquidado,Guayaquil,Se produjo un choque lateral al cambiar de carril en la autopista.,True,PROV-023,258,107,1,0,0,Verde,,0
SIN-00076,POL-00070,ASE-0130,Generales,Responsabilidad Civil,2024-02-05,2024-02-05,10025.86,8510.67,9920.34,Pago Total,Manta,Incendio en cocina del hogar asegurado por descuido con gas.,True,PROV-015,227,138,0,0,0,Verde,,0
SIN-00077,POL-00278,ASE-0172,Hogar,Robo,2025-07-03,2025-07-03,12110.57,12829.8,10955.95,Cierre Sin Consecuencia,Quito Sur,El vehiculo fue impactado por detras mientras estaba detenido en un semaforo.,True,PROV-031,239,126,0,0,0,Verde,,0
SIN-00078,POL-00184,ASE-0197,Hogar,Robo,2026-01-26,2026-01-28,9078.07,8416.66,7304.33,Anticipo,Guayaquil,Colision en interseccion por semaforo en rojo del tercero.,True,PROV-017,186,179,2,2,0,Verde,,0
SIN-00079,POL-00227,ASE-0015,Vehiculos,Incendio,2023-09-29,2023-10-01,12760.12,12357.37,10014.18,Reserva,Guayaquil,Robo del vehiculo en estacionamiento publico durante la madrugada.,True,PROV-007,33,332,2,1,0,Verde,,0
SIN-00080,POL-00271,ASE-0006,Vida,Robo,2026-02-22,2026-02-24,11779.56,11742.29,10547.89,Negativa,Quito Sur,El vehiculo fue impactado por detras mientras estaba detenido en un semaforo.,True,PROV-013,171,194,2,0,0,Verde,,0
SIN-00081,POL-00065,ASE-0062,Hogar,Atencion Medica,2026-09-13,2026-09-15,9886.43,9928.22,8864.37,Anticipo,Cuenca,Colision en interseccion por semaforo en rojo del tercero.,True,PROV-019,236,129,2,0,0,Verde,,0
SIN-00082,POL-00050,ASE-0185,Hogar,Responsabilidad Civil,2025-09-27,2025-09-29,13037.1,13271.31,0.0,Liquidado,Cuenca,Dano por inundacion en el sotano de la propiedad asegurada.,True,PROV-035,127,238,2,1,0,Verde,,0
SIN-00083,POL-00208,ASE-0120,Generales,Robo,2024-07-04,2024-07-05,13330.51,11839.3,12294.41,Cierre Sin Consecuencia,Guayaquil,Se produjo un choque lateral al cambiar de carril en la autopista.,True,PROV-036,117,248,1,0,0,Verde,,0
SIN-00084,POL-00245,ASE-0099,Vehiculos,Atencion Medica,2024-11-23,2024-11-25,7086.14,6562.77,5750.44,Anticipo,Quito Norte,Caida de arbol sobre el vehiculo estacionado por tormenta.,True,PROV-038,144,221,2,0,0,Verde,,0
SIN-00085,POL-00162,ASE-0070,Salud,Dano,2023-11-17,2023-11-20,8634.01,9211.0,8290.8,Pago Parcial,Cuenca,El vehiculo fue impactado por detras mientras estaba detenido en un semaforo.,False,PROV-025,66,299,3,1,0,Verde,,1
SIN-00086,POL-00286,ASE-0125,Salud,Robo,2026-07-24,2026-07-25,6222.37,6830.32,6198.46,Pago Parcial,Manta,El asegurado reporta dano en la parte frontal tras colision con poste.,True,PROV-030,107,258,1,0,0,Verde,,0
SIN-00087,POL-00239,ASE-0064,Vehiculos,Choque,2025-06-06,2025-06-08,15527.85,15361.85,0.0,Anticipo,Guayaquil,Incendio en cocina del hogar asegurado por descuido con gas.,True,PROV-004,279,86,2,0,0,Verde,,0
SIN-00088,POL-00194,ASE-0188,Generales,Incendio,2025-04-29,2025-04-30,8715.84,8252.79,6331.29,Cierre Sin Consecuencia,Cuenca,Colision en interseccion por semaforo en rojo del tercero.,True,PROV-040,116,249,1,0,0,Verde,,0
SIN-00089,POL-00293,ASE-0140,Salud,Atencion Medica,2024-08-06,2024-08-09,11885.31,9524.9,10924.95,Liquidado,Ambato,Incendio en cocina del hogar asegurado por descuido con gas.,True,PROV-001,274,91,3,1,0,Verde,,0
SIN-00090,POL-00179,ASE-0034,Generales,Dano,2023-10-16,2023-10-17,17599.25,17741.05,13000.2,Negativa,Guayaquil,El asegurado reporta dano en la parte frontal tras colision con poste.,True,PROV-025,4,361,1,1,0,Verde,,1
SIN-00091,POL-00016,ASE-0075,Vida,Responsabilidad Civil,2024-11-25,2024-11-27,13342.28,12498.75,11437.47,Pago Total,Guayaquil,Caida de arbol sobre el vehiculo estacionado por tormenta.,True,PROV-028,5,360,2,3,0,Verde,,1
SIN-00092,POL-00081,ASE-0099,Vida,Robo,2024-03-14,2024-03-15,7618.77,8261.99,6255.14,Cierre Sin Consecuencia,Quito Sur,Incendio en cocina del hogar asegurado por descuido con gas.,True,PROV-015,126,239,1,1,0,Verde,,0
SIN-00093,POL-00210,ASE-0195,Vida,Responsabilidad Civil,2024-06-23,2024-06-24,9190.01,7691.57,8616.9,Pago Parcial,Ambato,El vehiculo fue impactado por detras mientras estaba detenido en un semaforo.,True,PROV-025,288,77,1,0,0,Verde,,0
SIN-00094,POL-00133,ASE-0122,Generales,Incendio,2024-08-07,2024-08-07,9985.5,9946.26,0.0,Anticipo,Cuenca,Se produjo un choque lateral al cambiar de carril en la autopista.,True,PROV-008,54,311,0,1,0,Verde,,0
SIN-00095,POL-00258,ASE-0113,Vida,Responsabilidad Civil,2025-11-21,2025-11-22,4634.59,3993.39,3257.15,Reserva,Manta,Robo del vehiculo en estacionamiento publico durante la madrugada.,True,PROV-027,272,93,1,1,0,Verde,,0
SIN-00096,POL-00265,ASE-0067,Salud,Choque,2026-01-16,2026-01-19,7600.45,7974.36,0.0,Pago Parcial,Quito Norte,Se produjo un choque lateral al cambiar de carril en la autopista.,True,PROV-040,100,265,3,2,0,Verde,,0
SIN-00097,POL-00281,ASE-0031,Salud,Atencion Medica,2024-12-04,2024-12-06,14174.68,14875.61,11444.3,Pago Total,Quito Norte,Caida de arbol sobre el vehiculo estacionado por tormenta.,True,PROV-027,132,233,2,1,0,Verde,,0
SIN-00098,POL-00014,ASE-0012,Salud,Choque,2025-05-07,2025-05-09,10509.8,9147.22,0.0,Liquidado,Ambato,Caida de arbol sobre el vehiculo estacionado por tormenta.,True,PROV-006,276,89,2,0,0,Verde,,0
SIN-00099,POL-00040,ASE-0162,Vida,Responsabilidad Civil,2026-01-19,2026-01-19,10164.13,10337.62,0.0,Pago Total,Cuenca,Robo del vehiculo en estacionamiento publico durante la madrugada.,True,PROV-017,9,356,0,0,0,Verde,,1
SIN-00100,POL-00268,ASE-0090,Vida,Responsabilidad Civil,2025-09-04,2025-09-04,6359.1,6638.6,6077.23,Pago Parcial,Cuenca,Se produjo un choque lateral al cambiar de carril en la autopista.,True,PROV-024,55,310,0,2,0,Verde,,0
SIN-00101,POL-00126,ASE-0035,Vida,Incendio,2024-01-19,2024-01-27,5244.48,5536.07,3939.41,Negativa,Guayaquil,Se produjo un choque lateral al cambiar de carril en la autopista.,True,PROV-023,53,312,8,1,0,Verde,,1
SIN-00102,POL-00110,ASE-0152,Generales,Responsabilidad Civil,2025-12-08,2025-12-09,8081.31,6741.02,6763.75,Liquidado,Cuenca,Colision en interseccion por semaforo en rojo del tercero.,True,PROV-025,205,160,1,1,0,Verde,,0
SIN-00103,POL-00125,ASE-0074,Generales,Choque,2023-12-31,2023-12-31,13925.68,11694.14,13848.68,Anticipo,Ambato,Caida de arbol sobre el vehiculo estacionado por tormenta.,True,PROV-011,115,250,0,2,0,Verde,,0
SIN-00104,POL-00268,ASE-0090,Vida,Incendio,2026-03-22,2026-03-23,6966.59,6850.92,6154.34,Anticipo,Quito Norte,Colision en interseccion por semaforo en rojo del tercero.,True,PROV-009,254,111,1,3,0,Verde,,0
SIN-00105,POL-00192,ASE-0063,Vehiculos,Responsabilidad Civil,2026-03-21,2026-03-23,19658.21,19589.25,0.0,Negativa,Manta,Incendio en cocina del hogar asegurado por descuido con gas.,True,PROV-034,62,303,2,2,0,Verde,,0
SIN-00106,POL-00259,ASE-0036,Vida,Robo,2024-01-29,2024-01-29,11145.99,10364.15,9413.67,Liquidado,Ambato,El vehiculo fue impactado por detras mientras estaba detenido en un semaforo.,True,PROV-025,203,162,0,0,0,Verde,,0
SIN-00107,POL-00268,ASE-0090,Vida,Atencion Medica,2026-04-25,2026-05-03,6472.64,6832.27,4676.22,Pago Total,Guayaquil,Robo del vehiculo en estacionamiento publico durante la madrugada.,True,PROV-032,288,77,8,4,0,Verde,,1
SIN-00108,POL-00283,ASE-0148,Hogar,Dano,2026-05-26,2026-06-05,7940.88,7254.72,5746.41,Anticipo,Quito Norte,Caida de arbol sobre el vehiculo estacionado por tormenta.,True,PROV-029,311,54,10,2,0,Verde,,1
